kode,kategori,nama
1101172008,Kelurahan,Beutong
1101172009,Kelurahan,Jambo Keupok
1101172010,Kelurahan,Alurduamas
110118,Kecamatan,Trumon Tengah
1101182001,Kelurahan,Ladang Rimba
1101182002,Kelurahan,Gunong Kapho
1101182003,Kelurahan,Kampong Teungoh
1101182004,Kelurahan,Krueng Batee
1101182005,Kelurahan,Pulo Paya
1101182006,Kelurahan,Jambo Papeun
1101182007,Kelurahan,Cot Bayu
1101182008,Kelurahan,Naca
1101182009,Kelurahan,Ie Jeureuneh
1101182010,Kelurahan,Lhok Raya
1102,Kota Kabupaten,Kab. Aceh Tenggara
110201,Kecamatan,Lawe Alas
1102012001,Kelurahan,Engkeran
1102012002,Kelurahan,Rumah Kampung
1102012004,Kelurahan,Pasir Bangun
1102012006,Kelurahan,Kubu
1102012007,Kelurahan,Lawe Kongker
1102012008,Kelurahan,Kuta Cingkam II
1102012009,Kelurahan,Muara Baru
1102012011,Kelurahan,Kuta Batu I
1102012012,Kelurahan,Kuta Cingkam I
1102012013,Kelurahan,Kuta Batu II
1102012014,Kelurahan,Lawe Sempilang
1102012015,Kelurahan,Prapat Batu Nunggul
1102012016,Kelurahan,Pulo Sepang
1102012017,Kelurahan,Rih Mbelang
1102012018,Kelurahan,Kute Batu Baru
1102012019,Kelurahan,Darul Amin
1102012020,Kelurahan,Lawe Lubang Indah
1102012021,Kelurahan,Batu Hamparan
1102012022,Kelurahan,Paye Munje
1102012023,Kelurahan,Pulo Ndapdap
1102012024,Kelurahan,Pasir Nunggul
1102012025,Kelurahan,Cingkham Mekhanggun
1102012026,Kelurahan,Pintu Khimbe
1102012027,Kelurahan,Lawe Kongker Hilir
1102012028,Kelurahan,Pulo Gadung
1102012029,Kelurahan,Pasikh Pehkmate
1102012030,Kelurahan,Pasikh Nunang
1102012031,Kelurahan,Deleng Kukusen
110202,Kecamatan,Lawe Sigala-Gala
1102022001,Kelurahan,Bukit Merdeka
1102022002,Kelurahan,Darul Aman
1102022003,Kelurahan,Lawe Kesumpat
1102022004,Kelurahan,Lawe Tua Gabungan
1102022005,Kelurahan,Lawe Sigala II
1102022006,Kelurahan,Lawe Sigala Timur
1102022007,Kelurahan,Lawe Sigala Barat
1102022008,Kelurahan,Suka Damai
1102022009,Kelurahan,Kute Tengah
1102022010,Kelurahan,Tanah Baru
1102022011,Kelurahan,Kedataran  Gabungan
1102022012,Kelurahan,Gabungan  Parsaroan
1102022013,Kelurahan,Lawe Loning Gabungan
1102022014,Kelurahan,Lawe Loning Aman
1102022015,Kelurahan,Suka Maju
1102022016,Kelurahan,Lawe Tua Makmur
1102022017,Kelurahan,Lawe Tua Persatuan
1102022018,Kelurahan,Lawe Serke
1102022019,Kelurahan,Lawe Rakat
1102022020,Kelurahan,Suka Jaya
1102022021,Kelurahan,Enmiya Batu Dua Ratus
1102022022,Kelurahan,Sebungke
1102022023,Kelurahan,Bukit Sepakat
1102022024,Kelurahan,Lawe Loning Sepakat
1102022025,Kelurahan,Lawe Loning I
1102022026,Kelurahan,Gaya Jaya
1102022027,Kelurahan,Gelah Musara
1102022028,Kelurahan,Mulie Dame
1102022029,Kelurahan,Lawe Loning Hakhapen
1102022030,Kelurahan,Karya Indah
1102022031,Kelurahan,Kayu Mbelin
1102022032,Kelurahan,Lawe Sigala Barat Jaya
1102022033,Kelurahan,Lawe Pekhidinen
1102022034,Kelurahan,Kertimbang
1102022035,Kelurahan,Ndauh Nitenggo
110203,Kecamatan,Bambel
1102032001,Kelurahan,Bambel Gabungan
1102032002,Kelurahan,Kisam
1102032005,Kelurahan,Lawe Hijo
1102032006,Kelurahan,Pinding
1102032009,Kelurahan,Terutung Megara Asli
1102032011,Kelurahan,Biak Muli
1102032012,Kelurahan,Kute Lang-Lang
1102032013,Kelurahan,Pedesi
1102032014,Kelurahan,Terutung Payung Hulu
1102032015,Kelurahan,Terutung Payung Hilir
1102032016,Kelurahan,Tualang Sembilar
1102032017,Kelurahan,Kuning I
1102032018,Kelurahan,Kuning II
1102032019,Kelurahan,Cinta Damai
1102032020,Kelurahan,Likat
1102032021,Kelurahan,Rikit
1102032023,Kelurahan,Bambel
1102032025,Kelurahan,Lawe Kihing
1102032026,Kelurahan,Terutung Seperai
1102032027,Kelurahan,Kute Seri
1102032028,Kelurahan,Kuta Antara
1102032029,Kelurahan,Pulo Perengge
1102032031,Kelurahan,Pulo Kendondong
1102032033,Kelurahan,Pancakh Iman
1102032034,Kelurahan,Biak Muli Baru
1102032035,Kelurahan,Biak Muli Pantai Raja
1102032036,Kelurahan,Biak Muli Sejahtera
1102032037,Kelurahan,Lembah Haji
1102032038,Kelurahan,Terutung PayungGabungan
1102032039,Kelurahan,Lawe Hijo Metuah
1102032040,Kelurahan,Ampera
1102032041,Kelurahan,Tembilakh Mbakhu
1102032042,Kelurahan,Kute Lang-Lang Bakhu
110204,Kecamatan,Babussalam
1102042001,Kelurahan,Kota Kutacane
1102042002,Kelurahan,Perapat Hilir
1102042003,Kelurahan,Perapat Hulu
1102042004,Kelurahan,Muara Lawe Bulan
1102042005,Kelurahan,Mbarung
1102042006,Kelurahan,Batu Mbulan Asli
1102042007,Kelurahan,Batu Mbulan I
1102042008,Kelurahan,Batu Mbulan II
1102042009,Kelurahan,Kampung Raja
1102042010,Kelurahan,Pulonas
1102042011,Kelurahan,Kampung Melayu Gabungan
1102042012,Kelurahan,Terutung Pedi
1102042013,Kelurahan,Kute Rih
1102042014,Kelurahan,Gumpang Jaya
1102042015,Kelurahan,Pulo Latong
1102042016,Kelurahan,Kutacane Lama
1102042017,Kelurahan,Batu Mbulan Mbaru
1102042018,Kelurahan,Pulo Peding
1102042019,Kelurahan,Mendabe
1102042020,Kelurahan,Ujung Barat
1102042021,Kelurahan,Pekhapat Titi Panjang
1102042022,Kelurahan,Pekhapat Sepakat
1102042023,Kelurahan,Alas Marantcar
1102042024,Kelurahan,Batu Mbulan Sepakat
1102042025,Kelurahan,Pulo Sanggakh
1102042026,Kelurahan,Melayu I
1102042027,Kelurahan,Mbarung Datuk Saudane
110205,Kecamatan,Badar
1102052005,Kelurahan,Salang Alas
1102052009,Kelurahan,Kuta Pasir
1102052011,Kelurahan,Purwodadi
1102052012,Kelurahan,Kuta Tinggi
1102052013,Kelurahan,Kampung Baru
1102052014,Kelurahan,Peranginan
1102052015,Kelurahan,Natam
1102052025,Kelurahan,Kumbang Jaya
1102052026,Kelurahan,Kumbang Indah
1102052027,Kelurahan,Natam Baru
1102052029,Kelurahan,Deleng Megakhe
1102052030,Kelurahan,Lawe Bekung
1102052031,Kelurahan,Lawe Bekung Tampahan
1102052032,Kelurahan,Badar Indah
1102052033,Kelurahan,Batu Mbekhong
1102052034,Kelurahan,Tanah Merah
1102052035,Kelurahan,Tanoh Megakhe
1102052036,Kelurahan,Lawe Sekerah
110206,Kecamatan,Babul Makmur
1102062001,Kelurahan,Pardomuan  II
1102062002,Kelurahan,Lawe Desky I
1102062003,Kelurahan,Lawe Desky Sabas
1102062004,Kelurahan,Pardomuan  I
1102062005,Kelurahan,Cinta Damai
1102062006,Kelurahan,Pardamean
1102062007,Kelurahan,Lawe Desky Tongah
1102062008,Kelurahan,Kute Bakti
1102062010,Kelurahan,Muara Situlen
1102062011,Kelurahan,Sejahtera
1102062012,Kelurahan,Kute Makmur
1102062013,Kelurahan,Pardamean
1102062014,Kelurahan,Lawe Mantik
1102062015,Kelurahan,Cinta Makmur
1102062016,Kelurahan,Muara Setia
1102062017,Kelurahan,Tanoh Alas
1102062018,Kelurahan,Sejahtera Baru
1102062024,Kelurahan,Lawe Tawakh
1102062025,Kelurahan,Sabilussalam
1102062026,Kelurahan,Lawe Desky Jaya
1102062027,Kelurahan,Pintu Alas
110207,Kecamatan,Darul Hasanah
1102072001,Kelurahan,Gulo
1102072002,Kelurahan,Pulo Piku
1102072003,Kelurahan,Terutung Kute
1102072004,Kelurahan,Kute Ujung
1102072005,Kelurahan,Lawe Stul
1102072006,Kelurahan,Kite Merangun
1102072007,Kelurahan,Mamas
1102072008,Kelurahan,Tanjung Lama
1102072009,Kelurahan,Tanjung Muda
1102072010,Kelurahan,Rambung Teldak
1102072011,Kelurahan,Tanjung Aman
1102072012,Kelurahan,Sri Muda
1102072013,Kelurahan,Ujung Baru
1102072014,Kelurahan,Kute Rambe
1102072015,Kelurahan,Mamas Baru
1102072016,Kelurahan,Rambung Jaya
1102072017,Kelurahan,Makmur Jaya
1102072018,Kelurahan,Darul Makmur
1102072019,Kelurahan,Tanjung Bakhu
1102072020,Kelurahan,Pulo Gabung
1102072021,Kelurahan,Kokhtan Jaya
1102072022,Kelurahan,Istiqamah
1102072023,Kelurahan,Lawe Mamas Indah
1102072024,Kelurahan,Tanjung Leuser
1102072025,Kelurahan,Simpang IV Tanjung
1102072026,Kelurahan,Lawe Pinis
1102072027,Kelurahan,Buntul Kendawi
1102072028,Kelurahan,Kuning Abadi
110208,Kecamatan,Lawe Bulan
1102082001,Kelurahan,Pasir Gala
1102082002,Kelurahan,Pasir Penjengakan
1102082003,Kelurahan,Kutambaru
1102082004,Kelurahan,Lawe Sagu Hulu
1102082005,Kelurahan,Lawe Sagu Hilir
1102082006,Kelurahan,Kute Bantil
1102082011,Kelurahan,Lawe Kolok
1102082012,Kelurahan,Lawe Rutung
1102082013,Kelurahan,Kampung Nangka
1102082014,Kelurahan,Tenembak  Juhar
1102082015,Kelurahan,Simpang Empat
1102082016,Kelurahan,Kuta Buluh Botong
1102082017,Kelurahan,Katambaru  Becawan
1102082018,Kelurahan,Lawe Kinge
1102082019,Kelurahan,Kandang Mbelang Mandiri
1102082020,Kelurahan,Mbacang Racun
1102082021,Kelurahan,Telaga Mekar
1102082023,Kelurahan,Pulonas Baru
1102082025,Kelurahan,Kuta Genting
1102082026,Kelurahan,Lawe Sagu Baru
1102082027,Kelurahan,Lawe Sagu
1102082028,Kelurahan,Pekhapet Timur
1102082029,Kelurahan,Bahagia
1102082030,Kelurahan,Kute Galuh Asli
110209,Kecamatan,Bukit Tusam
1102092001,Kelurahan,Kute Lengat Pangan
1102092002,Kelurahan,Kute Lengat Selian
1102092003,Kelurahan,Tualang Baru
1102092004,Kelurahan,Alur Buluh
1102092005,Kelurahan,Maha Singkil
1102092006,Kelurahan,Tenembak  Bintang
1102092007,Kelurahan,Kute Lingga
1102092008,Kelurahan,Rikit Bur
1102092010,Kelurahan,Kerukunan
1102092011,Kelurahan,Lawe Dua
1102092012,Kelurahan,Rema
1102092013,Kelurahan,Bambel Baru
1102092014,Kelurahan,Pejuang
1102092015,Kelurahan,Darussalam
1102092016,Kelurahan,Amaliah
1102092017,Kelurahan,Sebudi Jaya
1102092018,Kelurahan,Gumpang
1102092019,Kelurahan,Kute Gekhat
1102092020,Kelurahan,Paye Khambung
1102092021,Kelurahan,Mbak Sako
1102092022,Kelurahan,Darul Imami
1102092023,Kelurahan,Rikit Bur II
1102092024,Kelurahan,Kute Empat Lima
110210,Kecamatan,Semadam
1102102001,Kelurahan,Simpang Semadam
1102102002,Kelurahan,Semadam Awal
1102102003,Kelurahan,Semadam Asal
1102102004,Kelurahan,Lawe Kinga Gabungan
1102102005,Kelurahan,Lawe Kinga Tebing Tinggi
1102102006,Kelurahan,Kebun Sere
1102102007,Kelurahan,Lawe Beringin Horas
1102102008,Kelurahan,Lawe. Berigin Gayo
1102102009,Kelurahan,Suka Makmur
1102102010,Kelurahan,Pasar Puntung
1102102011,Kelurahan,Titi Pasir
1102102012,Kelurahan,Lawe Petanduk I
1102102013,Kelurahan,Ngkeran Alur Buluh
1102102014,Kelurahan,Kampung Baru
1102102015,Kelurahan,Sepakat Segenap
1102102016,Kelurahan,Selamat Indah
1102102017,Kelurahan,Lawe Kinge Lapter
1102102018,Kelurahan,Lawe Mejile
1102102019,Kelurahan,Lawe Petanduk-II
110211,Kecamatan,Babul Rahmah
1102112004,Kelurahan,Titi Mas
1102112005,Kelurahan,Meranti
1102112006,Kelurahan,Kute Lang-Lang
1102112007,Kelurahan,Lawe Sumur
1102112008,Kelurahan,Pardamaian
1102112009,Kelurahan,Salim Pipit
1102112010,Kelurahan,Penguhapan
1102112011,Kelurahan,Lumban Tua
1102112012,Kelurahan,Mutiara Damai
1102112013,Kelurahan,Dolok Nauli
1102112014,Kelurahan,Tuhi Jongkat
1102112015,Kelurahan,Uning Sigugur
1102112016,Kelurahan,Lumban Sitio-tio
1102112017,Kelurahan,Lawe Malum
1102112018,Kelurahan,Alur Baning
1102112019,Kelurahan,Lingga Alas
1102112020,Kelurahan,Khambung  Tumbung
1102112021,Kelurahan,Tuah Mesade
1102112022,Kelurahan,Sumukh Alas
1102112023,Kelurahan,Alukh Bakhu
1102112024,Kelurahan,Sepekhinding
1102112025,Kelurahan,Tanoh Subukh
1102112026,Kelurahan,Pinggan Mbelang
1102112027,Kelurahan,Sigai Indah
1102112028,Kelurahan,Ukekh Deleng
1102112029,Kelurahan,Alas Mesikhat
1102112030,Kelurahan,Titi Hakhapen
110212,Kecamatan,Ketambe
1102122001,Kelurahan,Aunan Sepakat
1102122002,Kelurahan,Lawe Penanggalan
1102122003,Kelurahan,Lawe Mengkudu
1102122004,Kelurahan,Jambur Lak-lak
1102122005,Kelurahan,Simpang Tiga Jongar
1102122006,Kelurahan,Jongar Asli
1102122007,Kelurahan,Ketambe
1102122008,Kelurahan,Rumah Bundar
1102122009,Kelurahan,Penyeberangan Cingkam
1102122010,Kelurahan,Deleng Damar
1102122011,Kelurahan,Bintang Bener
1102122012,Kelurahan,Suka Rimbun
1102122013,Kelurahan,Lawe Aunan
1102122014,Kelurahan,Bener Bepapah
1102122015,Kelurahan,Penungkunen
1102122016,Kelurahan,Datok Pining
1102122017,Kelurahan,Kati Maju
1102122018,Kelurahan,Leuser
1102122019,Kelurahan,Jati Sara
1102122020,Kelurahan,Bukit Mbakhu
1102122021,Kelurahan,Kayu Metangur
