5371,Kota Kabupaten,Kota Kupang
61,Provinsi,Kalimantan Barat
6101,Kota Kabupaten,Kab. Sambas
6102,Kota Kabupaten,Kab. Mempawah
6103,Kota Kabupaten,Kab. Sanggau
6104,Kota Kabupaten,Kab. Ketapang
6105,Kota Kabupaten,Kab. Sintang
6106,Kota Kabupaten,Kab. Kapuas Hulu
6107,Kota Kabupaten,Kab. Bengkayang
6108,Kota Kabupaten,Kab. Landak
6109,Kota Kabupaten,Kab. Sekadau
6110,Kota Kabupaten,Kab. Melawi
6111,Kota Kabupaten,Kab. Kayong Utara
6112,Kota Kabupaten,Kab. Kubu Raya
6171,Kota Kabupaten,Kota Pontianak
6172,Kota Kabupaten,Kota Singkawang
62,Provinsi,Kalimantan Tengah
6201,Kota Kabupaten,Kab. Kotawaringin Barat
6202,Kota Kabupaten,Kab. Kotawaringin Timur
6203,Kota Kabupaten,Kab. Kapuas
6204,Kota Kabupaten,Kab. Barito Selatan
6205,Kota Kabupaten,Kab. Barito Utara
6206,Kota Kabupaten,Kab. Katingan
6207,Kota Kabupaten,Kab. Seruyan
6208,Kota Kabupaten,Kab. Sukamara
6209,Kota Kabupaten,Kab. Lamandau
6210,Kota Kabupaten,Kab. Pulang Pisau
6211,Kota Kabupaten,Kab. Gunung Mas
6212,Kota Kabupaten,Kab. Murung Raya
6213,Kota Kabupaten,Kab. Barito Timur
6271,Kota Kabupaten,Kota Palangkaraya
63,Provinsi,Kalimantan Selatan
6301,Kota Kabupaten,Kab. Tanah Laut
6302,Kota Kabupaten,Kab. Kotabaru
6303,Kota Kabupaten,Kab. Banjar
6304,Kota Kabupaten,Kab. Barito Kuala
6305,Kota Kabupaten,Kab. Tapin
6306,Kota Kabupaten,Kab. Hulu Sungai Selatan
6307,Kota Kabupaten,Kab. Hulu Sungai Tengah
6308,Kota Kabupaten,Kab. Hulu Sungai Utara
6309,Kota Kabupaten,Kab. Tabalong
6310,Kota Kabupaten,Kab. Tanah Bumbu
6311,Kota Kabupaten,Kab. Balangan
6371,Kota Kabupaten,Kota Banjarmasin
6372,Kota Kabupaten,Kota Banjarbaru
64,Provinsi,Kalimantan Timur
6401,Kota Kabupaten,Kab. Paser
6402,Kota Kabupaten,Kab. Kutai Kartanegara
6403,Kota Kabupaten,Kab. Berau
6407,Kota Kabupaten,Kab. Kutai Barat
6408,Kota Kabupaten,Kab. Kutai Timur
6409,Kota Kabupaten,Kab. Penajam Paser Utara
6411,Kota Kabupaten,Kab. Mahakam Ulu
6471,Kota Kabupaten,Kota Balikpapan
6472,Kota Kabupaten,Kota Samarinda
6474,Kota Kabupaten,Kota Bontang
65,Provinsi,Kalimantan Utara
6501,Kota Kabupaten,Kab. Bulungan
6502,Kota Kabupaten,Kab. Malinau
6503,Kota Kabupaten,Kab. Nunukan
6504,Kota Kabupaten,Kab. Tana Tidung
6571,Kota Kabupaten,Kota Tarakan
71,Provinsi,Sulawesi Utara
7101,Kota Kabupaten,Kab. Bolaang Mongondow
7102,Kota Kabupaten,Kab. Minahasa
7103,Kota Kabupaten,Kab. Kepulauan Sangihe
7104,Kota Kabupaten,Kab. Kepulauan Talaud
7105,Kota Kabupaten,Kab. Minahasa Selatan
7106,Kota Kabupaten,Kab. Minahasa Utara
7107,Kota Kabupaten,Kab. Minahasa Tenggara
7108,Kota Kabupaten,Kab. Bolaang Mongondow Utara
7109,Kota Kabupaten,Kab. Kep. Siau Tagulandang  Biaro
7110,Kota Kabupaten,Kab. Bolaang Mongondow Timur
7111,Kota Kabupaten,Kab. Bolaang Mongondow Selatan
7171,Kota Kabupaten,Kota Manado
7172,Kota Kabupaten,Kota Bitung
7173,Kota Kabupaten,Kota Tomohon
7174,Kota Kabupaten,Kota Kotamobagu
72,Provinsi,Sulawesi Tengah
7201,Kota Kabupaten,Kab. Banggai
7202,Kota Kabupaten,Kab. Poso
7203,Kota Kabupaten,Kab. Donggala
7204,Kota Kabupaten,Kab. Toli Toli
7205,Kota Kabupaten,Kab. Buol
7206,Kota Kabupaten,Kab. Morowali
7207,Kota Kabupaten,Kab. Banggai Kepulauan
7208,Kota Kabupaten,Kab. Parigi Moutong
7209,Kota Kabupaten,Kab. Tojo Una Una
7210,Kota Kabupaten,Kab. Sigi
7211,Kota Kabupaten,Kab. Banggai Laut
7212,Kota Kabupaten,Kab. Morowali Utara
7271,Kota Kabupaten,Kota Palu
73,Provinsi,Sulawesi Selatan
7301,Kota Kabupaten,Kab. Kepulauan Selayar
7302,Kota Kabupaten,Kab. Bulukumba
7303,Kota Kabupaten,Kab. Bantaeng
7304,Kota Kabupaten,Kab. Jeneponto
7305,Kota Kabupaten,Kab. Takalar
7306,Kota Kabupaten,Kab. Gowa
7307,Kota Kabupaten,Kab. Sinjai
7308,Kota Kabupaten,Kab. Bone
7309,Kota Kabupaten,Kab. Maros
7310,Kota Kabupaten,Kab. Pangkajene Kepulauan
7311,Kota Kabupaten,Kab. Barru
7312,Kota Kabupaten,Kab. Soppeng
7313,Kota Kabupaten,Kab. Wajo
7314,Kota Kabupaten,Kab. Sidenreng Rappang
7315,Kota Kabupaten,Kab. Pinrang
7316,Kota Kabupaten,Kab. Enrekang
7317,Kota Kabupaten,Kab. Luwu
7318,Kota Kabupaten,Kab. Tana Toraja
7322,Kota Kabupaten,Kab. Luwu Utara
7324,Kota Kabupaten,Kab. Luwu Timur
7326,Kota Kabupaten,Kab. Toraja Utara
7371,Kota Kabupaten,Kota Makassar
7372,Kota Kabupaten,Kota Pare Pare
7373,Kota Kabupaten,Kota Palopo
74,Provinsi,Sulawesi Tenggara
7401,Kota Kabupaten,Kab. Kolaka
7402,Kota Kabupaten,Kab. Konawe
7403,Kota Kabupaten,Kab. Muna
7404,Kota Kabupaten,Kab. Buton
7405,Kota Kabupaten,Kab. Konawe Selatan
7406,Kota Kabupaten,Kab. Bombana
7407,Kota Kabupaten,Kab. Wakatobi
7408,Kota Kabupaten,Kab. Kolaka Utara
7409,Kota Kabupaten,Kab. Konawe Utara
7410,Kota Kabupaten,Kab. Buton Utara
7411,Kota Kabupaten,Kab. Kolaka Timur
7412,Kota Kabupaten,Kab. Konawe Kepulauan
7413,Kota Kabupaten,Kab. Muna Barat
7414,Kota Kabupaten,Kab. Buton Tengah
7415,Kota Kabupaten,Kab. Buton Selatan
7471,Kota Kabupaten,Kota Kendari
7472,Kota Kabupaten,Kota Bau Bau
75,Provinsi,Gorontalo
7501,Kota Kabupaten,Kab. Gorontalo
7502,Kota Kabupaten,Kab. Boalemo
7503,Kota Kabupaten,Kab. Bone Bolango
7504,Kota Kabupaten,Kab. Pahuwato
7505,Kota Kabupaten,Kab. Gorontalo Utara
7571,Kota Kabupaten,Kota Gorontalo
76,Provinsi,Sulawesi Barat
7601,Kota Kabupaten,Kab. Pasangkayu
7602,Kota Kabupaten,Kab. Mamuju
7603,Kota Kabupaten,Kab. Mamasa
7604,Kota Kabupaten,Kab. Polewali Mandar
7605,Kota Kabupaten,Kab. Majene
7606,Kota Kabupaten,Kab. Mamuju Tengah
81,Provinsi,Maluku
8101,Kota Kabupaten,Kab. Maluku Tengah
8102,Kota Kabupaten,Kab. Maluku Tenggara
8103,Kota Kabupaten,Kab. Kepulauan Tanimbar
8104,Kota Kabupaten,Kab. Buru
8105,Kota Kabupaten,Kab. Seram Bagian Timur
8106,Kota Kabupaten,Kab. Seram Bagian Barat
8107,Kota Kabupaten,Kab. Kepulauan Aru
8108,Kota Kabupaten,Kab. Maluku Barat Daya
8109,Kota Kabupaten,Kab. Buru Selatan
8171,Kota Kabupaten,Kota Ambon
8172,Kota Kabupaten,Kota Tual
82,Provinsi,Maluku Utara
8201,Kota Kabupaten,Kab. Halmahera Barat
8202,Kota Kabupaten,Kab. Halmahera Tengah
8203,Kota Kabupaten,Kab. Halmahera Utara
8204,Kota Kabupaten,Kab. Halmahera Selatan
8205,Kota Kabupaten,Kab. Kepulauan Sula
8206,Kota Kabupaten,Kab. Halmahera Timur
8207,Kota Kabupaten,Kab. Pulau Morotai
8208,Kota Kabupaten,Kab. Pulau Taliabu
8271,Kota Kabupaten,Kota Ternate
8272,Kota Kabupaten,Kota Tidore Kepulauan
91,Provinsi,Papua
9101,Kota Kabupaten,Kab. Merauke
9102,Kota Kabupaten,Kab. Jayawijaya
9103,Kota Kabupaten,Kab. Jayapura
9104,Kota Kabupaten,Kab. Nabire
9105,Kota Kabupaten,Kab. Kepulauan Yapen
9106,Kota Kabupaten,Kab. Biak Numfor
9107,Kota Kabupaten,Kab. Puncak Jaya
9108,Kota Kabupaten,Kab. Paniai
9109,Kota Kabupaten,Kab. Mimika
9110,Kota Kabupaten,Kab. Sarmi
9111,Kota Kabupaten,Kab. Keerom
9112,Kota Kabupaten,Kab Pegunungan Bintang
9113,Kota Kabupaten,Kab. Yahukimo
9114,Kota Kabupaten,Kab. Tolikara
9115,Kota Kabupaten,Kab. Waropen
9116,Kota Kabupaten,Kab. Boven Digoel
9117,Kota Kabupaten,Kab. Mappi
9118,Kota Kabupaten,Kab. Asmat
9119,Kota Kabupaten,Kab. Supiori
9120,Kota Kabupaten,Kab. Mamberamo Raya
9121,Kota Kabupaten,Kab. Mamberamo Tengah
9122,Kota Kabupaten,Kab. Yalimo
9123,Kota Kabupaten,Kab. Lanny Jaya
9124,Kota Kabupaten,Kab. Nduga
9125,Kota Kabupaten,Kab. Puncak
