,Kategori Wilayah,Kode Wilayah,Nama Wilayah
208,Kelurahan,1101132006,Siurai-Urai
209,Kelurahan,1101132007,Kampung Sawah
210,Kelurahan,1101132008,Kampung Padang
211,Kelurahan,1101132009,Pulo Air
212,Kelurahan,1101132010,Lawe Melang
213,Kelurahan,1101132011,Mersak
214,Kelurahan,1101132012,Simpang Dua
215,Kelurahan,1101132013,Simpang Tiga
216,Kelurahan,1101142001,Paya Dapur
217,Kelurahan,1101142002,Sapik
218,Kelurahan,1101142003,Alai
219,Kelurahan,1101142004,Durian Kawan
220,Kelurahan,1101142005,Lawe Sawah
221,Kelurahan,1101142006,Lawe Buluh Didi
222,Kelurahan,1101142007,Pucuk Lembang
223,Kelurahan,1101142008,Paya Laba
224,Kelurahan,1101142009,Lawe Cimanok
225,Kelurahan,1101152001,Pasie Seubadeh
226,Kelurahan,1101152002,Ladang Rimba
227,Kelurahan,1101152003,Ujong Pulo Rayeuk
228,Kelurahan,1101152004,Sawah Tingkeum
229,Kelurahan,1101152005,Simpang
230,Kelurahan,1101152006,Ujong Pulo Cut
231,Kelurahan,1101152008,Seuleukat
232,Kelurahan,1101162005,Pinto Rimba
233,Kelurahan,1101162006,Krueng Luas
234,Kelurahan,1101162007,Jambo Dalem
235,Kelurahan,1101162008,Kapa Sesak
236,Kelurahan,1101162009,Seuneubok Punto
237,Kelurahan,1101162010,Seuneubok Pusaka
238,Kelurahan,1101162011,Alur Bujok
239,Kelurahan,1101162012,Titi Poben
240,Kelurahan,1101172001,Buket Gadeng
241,Kelurahan,1101172002,Rambong
242,Kelurahan,1101172003,Seuneubok  Keuranji
243,Kelurahan,1101172004,Seuneubok  Alur Buloh
244,Kelurahan,1101172005,Ujong Tanoh
245,Kelurahan,1101172006,Ujong Gunong Cut
246,Kelurahan,1101172007,Ujong Gunung Rayeuk
247,Kelurahan,1101172008,Beutong
248,Kelurahan,1101172009,Jambo Keupok
249,Kelurahan,1101172010,Alurduamas
250,Kelurahan,1101182001,Ladang Rimba
251,Kelurahan,1101182002,Gunong Kapho
252,Kelurahan,1101182003,Kampong Teungoh
253,Kelurahan,1101182004,Krueng Batee
254,Kelurahan,1101182005,Pulo Paya
255,Kelurahan,1101182006,Jambo Papeun
256,Kelurahan,1101182007,Cot Bayu
257,Kelurahan,1101182008,Naca
258,Kelurahan,1101182009,Ie Jeureuneh
259,Kelurahan,1101182010,Lhok Raya
260,Kelurahan,1102012001,Engkeran
261,Kelurahan,1102012002,Rumah Kampung
262,Kelurahan,1102012004,Pasir Bangun
263,Kelurahan,1102012006,Kubu
264,Kelurahan,1102012007,Lawe Kongker
265,Kelurahan,1102012008,Kuta Cingkam II
266,Kelurahan,1102012009,Muara Baru
267,Kelurahan,1102012011,Kuta Batu I
268,Kelurahan,1102012012,Kuta Cingkam I
269,Kelurahan,1102012013,Kuta Batu II
270,Kelurahan,1102012014,Lawe Sempilang
271,Kelurahan,1102012015,Prapat Batu Nunggul
272,Kelurahan,1102012016,Pulo Sepang
273,Kelurahan,1102012017,Rih Mbelang
274,Kelurahan,1102012018,Kute Batu Baru
275,Kelurahan,1102012019,Darul Amin
276,Kelurahan,1102012020,Lawe Lubang Indah
277,Kelurahan,1102012021,Batu Hamparan
278,Kelurahan,1102012022,Paye Munje
279,Kelurahan,1102012023,Pulo Ndapdap
