code,display
113225006,Structure of lateral malleolus of fibula (body structure)
16769007,Structure of lateral mammillary nucleus (body structure)
3409004,Structure of lateral margin of forearm (body structure)
41881006,Structure of lateral margin of tongue (body structure)
40349000,Structure of lateral mass of atlas (body structure)
53351006,Structure of lateral medullary lamina (body structure)
58198005,Structure of lateral membranous ampulla (body structure)
273000,Structure of lateral myocardium (body structure)
16465000,Structure of lateral nail fold (body structure)
369402003,Structure of lateral nasal branches of anterior ethmoidal nerve (body structure)
38374003,Structure of lateral nasal cartilage (body structure)
34398000,Structure of lateral nasal process (body structure)
367593007,Structure of lateral nasopharynx (body structure)
10778008,Structure of lateral nuclear group of thalamus (body structure)
22735005,Structure of lateral occipital gyrus (body structure)
27146007,Structure of lateral occipital sulcus (body structure)
33185006,Structure of lateral occipitotemporal gyrus (body structure)
8688004,Structure of lateral olfactory gyrus (body structure)
54714005,Structure of lateral olfactory striae (body structure)
57975000,Structure of lateral palpebral artery (body structure)
51332007,Structure of lateral palpebral ligament (body structure)
76140005,Structure of lateral palpebral raphe (body structure)
64312005,Structure of lateral part of occipital bone (body structure)
57491007,Structure of lateral part of pulvinar (body structure)
76758007,Structure of lateral patellar retinaculum (body structure)
83754008,Structure of lateral pectoral nerve (body structure)
196587000,Structure of lateral pericardial lymph node (body structure)
12507007,Structure of lateral pharyngeal space (body structure)
27973009,Structure of lateral pharyngeal wall (body structure)
44830000,Structure of lateral plantar artery (body structure)
16419003,Structure of lateral plantar nerve (body structure)
64952003,Structure of lateral plantar nerve deep branch (body structure)
23765008,Structure of lateral plantar nerve superficial branch (body structure)
33704003,Structure of lateral portion of neck (body structure)
7820009,Structure of lateral posterior nucleus of thalamus (body structure)
79783006,Structure of lateral preoptic nucleus (body structure)
16570005,Structure of lateral process of calcaneal tubercle (body structure)
62466004,Structure of lateral process of malleus (body structure)
88938001,Structure of lateral pterygoid muscle (body structure)
415639001,Structure of lateral pterygoid plate (body structure)
66501007,Structure of lateral recess of fourth ventricle (body structure)
84281001,Structure of lateral region of abdomen (body structure)
441569000,Structure of lateral region of plantar surface of midfoot (body structure)
19819008,Structure of lateral region of trunk (body structure)
41272007,Structure of lateral reticulospinal tract (body structure)
167464007,Structure of lateral retropharyngeal lymph node (body structure)
56832003,Structure of lateral root of optic tract (body structure)
76361006,Structure of lateral sacral artery (body structure)
295467008,Structure of lateral sacral vein (body structure)
23579003,Structure of lateral sacrococcygeal ligament (body structure)
33392008,Structure of lateral segment artery of liver (body structure)
80303005,Structure of lateral segment of left lobe of liver (body structure)
42000008,Structure of lateral segment of right middle lobe of lung (body structure)
367616006,Structure of lateral semicircular canal (body structure)
79989003,Structure of lateral semicircular duct (body structure)
19001003,Structure of lateral spinothalamic tract (body structure)
369319000,Structure of lateral striate artery (body structure)
75487000,Structure of lateral sural cutaneous nerve (body structure)
72278003,Structure of lateral surface of fifth toe (body structure)
91324008,Structure of lateral surface of finger (body structure)
82817001,Structure of lateral surface of fourth toe (body structure)
55095007,Structure of lateral surface of great toe (body structure)
34928003,Structure of lateral surface of index finger (body structure)
42512001,Structure of lateral surface of leg (body structure)
4358009,Structure of lateral surface of little finger (body structure)
66468000,Structure of lateral surface of lower extremity (body structure)
441621007,Structure of lateral surface of lower leg (body structure)
90932004,Structure of lateral surface of middle finger (body structure)
40097006,Structure of lateral surface of ring finger (body structure)
21475004,Structure of lateral surface of root of tooth (body structure)
21771009,Structure of lateral surface of second toe (body structure)
7471001,Structure of lateral surface of sublingual gland (body structure)
20866002,Structure of lateral surface of thigh (body structure)
43402001,Structure of lateral surface of third toe (body structure)
30441000,Structure of lateral surface of thumb (body structure)
10421001,Structure of lateral surface of toe (body structure)
34894009,Structure of lateral surface of upper arm (body structure)
77156008,Structure of lateral talocalcaneal ligament (body structure)
230909004,Structure of lateral tarsal artery (body structure)
3743007,Structure of lateral thoracic artery (body structure)
206400002,Structure of lateral thoracic vein (body structure)
80830008,Structure of lateral umbilical fold (body structure)
15054005,Structure of lateral umbilical ligaments (body structure)
369372001,Structure of lateral vein of the lateral ventricle (body structure)
278672000,Structure of lateral vesicular lymph node (body structure)
246001,Structure of lateral vestibular nucleus (body structure)
88399001,Structure of lateral wall of hypopharynx (body structure)
3524005,Structure of lateral wall of mastoid antrum (body structure)
70988003,Structure of lateral wall of nasopharynx (body structure)
4061004,Structure of lateral wall of orbit (body structure)
19120004,Structure of lateral wall of oropharynx (body structure)
19318009,Structure of lateral wall of urinary bladder (body structure)
15665001,Structure of latissimus dorsi muscle (body structure)
363529004,Structure of layer of kidney (body structure)
6864006,Structure of leaf of epiglottis (body structure)
46807008,Structure of leaflet of mitral valve (body structure)
32427001,Structure of leaflet of tricuspid valve (body structure)
48907001,Structure of least splanchnic nerve (body structure)
12003004,Structure of left adrenal gland (body structure)
51636004,Structure of left ankle (body structure)
369299002,Structure of left anterior cerebral artery (body structure)
84654008,Structure of left anterior division of left branch of atrioventricular bundle (body structure)
215116005,Structure of left anterior tibial artery (body structure)
86300003,Structure of left aorticopulmonary cushion (body structure)
44546001,Structure of left apicoposterior segmental bronchus (body structure)
33626005,Structure of left auricular appendage (body structure)
368502006,Structure of left axillary artery (body structure)
20437008,Structure of left axillary region (body structure)
21807003,Structure of left branch of hepatic artery (body structure)
199599008,Structure of left bronchial lumen (body structure)
9775002,Structure of left carotid sinus (body structure)
49664001,Structure of left colic artery (body structure)
72592005,Structure of left colic flexure (body structure)
282116006,Structure of left colic lymph node (body structure)
15939002,Structure of left colic vein (body structure)
191735000,Structure of left commissure of aortic valve (body structure)
189842008,Structure of left commissure of pulmonic valve (body structure)
77428008,Structure of left common iliac artery (body structure)
188621001,Structure of left coronary sulcus (body structure)
63677005,Structure of left corpus cavernosum of clitoris (body structure)
42677006,Structure of left crus of diaphragm (body structure)
63059004,Structure of left cusp of aortic valve (body structure)
25373004,Structure of left cusp of pulmonic valve (body structure)
86244002,Structure of left epididymis (body structure)
47629002,Structure of left external carotid artery (body structure)
283892001,Structure of left external iliac artery (body structure)
113293009,Structure of left fallopian tube (body structure)
113270003,Structure of left femoral artery (body structure)
442034005,Structure of left femoral canal (body structure)
21014000,Structure of left femoral region (body structure)
22335008,Structure of left foot (body structure)
66480008,Structure of left forearm (body structure)
23771002,Structure of left gastric artery (body structure)
89037002,Structure of left gastric lymph node (body structure)
49253009,Structure of left gastric vein (body structure)
67671005,Structure of left gastroepiploic artery (body structure)
68180009,Structure of left gastroepiploic vein (body structure)
423713007,Structure of left half of abdomen (body structure)
31156008,Structure of left half of body (body structure)
423781004,Structure of left half of face (body structure)
64237003,Structure of left half of head (body structure)
170583000,Structure of left half of neck (body structure)
422569009,Structure of left half of scalp (body structure)
85151006,Structure of left hand (body structure)
416912002,Structure of left hemidiaphragm (body structure)
64281006,Structure of left hepatic duct (body structure)
269522003,Structure of left hepatic duct of caudate lobe (body structure)
273202007,Structure of left hepatic vein (body structure)
27553006,Structure of left horn of uterus (body structure)
76059009,Structure of left inferior parathyroid gland (body structure)
113350007,Structure of left inguinal triangle (body structure)
58379002,Structure of left internal carotid artery (body structure)
283696001,Structure of left internal iliac artery (body structure)
421740001,Structure of left intervertebral vein at L1 (body structure)
420396003,Structure of left intervertebral vein at L2 (body structure)
420957001,Structure of left intervertebral vein at L3 (body structure)
82169009,Structure of left knee (body structure)
397113005,Structure of left labium majus (body structure)
397116002,Structure of left labium minus (body structure)
367893000,Structure of left lateral border of body of sternum (body structure)
252667002,Structure of left lateral fornix (body structure)
251695000,Structure of left lateral lobe of prostate (body structure)
178679005,Structure of left lateral nasopharynx (body structure)
441514003,Structure of left lateral rectus muscle (body structure)
