system,code,display,definition
http://terminology.hl7.org/CodeSystem/v3-Race,1137-9,Little Shell Chippewa,Little Shell Chippewa
http://terminology.hl7.org/CodeSystem/v3-Race,1138-7,Mille Lacs,Mille Lacs
http://terminology.hl7.org/CodeSystem/v3-Race,1139-5,Minnesota Chippewa,Minnesota Chippewa
http://terminology.hl7.org/CodeSystem/v3-Race,1140-3,Ontonagon,Ontonagon
http://terminology.hl7.org/CodeSystem/v3-Race,1141-1,Red Cliff Chippewa,Red Cliff Chippewa
http://terminology.hl7.org/CodeSystem/v3-Race,1142-9,Red Lake Chippewa,Red Lake Chippewa
http://terminology.hl7.org/CodeSystem/v3-Race,1143-7,Saginaw Chippewa,Saginaw Chippewa
http://terminology.hl7.org/CodeSystem/v3-Race,1144-5,St. Croix Chippewa,St. Croix Chippewa
http://terminology.hl7.org/CodeSystem/v3-Race,1145-2,Sault Ste. Marie Chippewa,Sault Ste. Marie Chippewa
http://terminology.hl7.org/CodeSystem/v3-Race,1146-0,Sokoagon Chippewa,Sokoagon Chippewa
http://terminology.hl7.org/CodeSystem/v3-Race,1147-8,Turtle Mountain,Turtle Mountain
http://terminology.hl7.org/CodeSystem/v3-Race,1148-6,White Earth,White Earth
http://terminology.hl7.org/CodeSystem/v3-Race,1150-2,Chippewa Cree,Chippewa Cree
http://terminology.hl7.org/CodeSystem/v3-Race,1151-0,Rocky Boy's Chippewa Cree,Rocky Boy's Chippewa Cree
http://terminology.hl7.org/CodeSystem/v3-Race,1153-6,Chitimacha,Chitimacha
http://terminology.hl7.org/CodeSystem/v3-Race,1155-1,Choctaw,Choctaw
http://terminology.hl7.org/CodeSystem/v3-Race,1156-9,Clifton Choctaw,Clifton Choctaw
http://terminology.hl7.org/CodeSystem/v3-Race,1157-7,Jena Choctaw,Jena Choctaw
http://terminology.hl7.org/CodeSystem/v3-Race,1158-5,Mississippi Choctaw,Mississippi Choctaw
http://terminology.hl7.org/CodeSystem/v3-Race,1159-3,Mowa Band of Choctaw,Mowa Band of Choctaw
http://terminology.hl7.org/CodeSystem/v3-Race,1160-1,Oklahoma Choctaw,Oklahoma Choctaw
http://terminology.hl7.org/CodeSystem/v3-Race,1162-7,Chumash,Chumash
http://terminology.hl7.org/CodeSystem/v3-Race,1163-5,Santa Ynez,Santa Ynez
http://terminology.hl7.org/CodeSystem/v3-Race,1165-0,Clear Lake,Clear Lake
http://terminology.hl7.org/CodeSystem/v3-Race,1167-6,Coeur D'Alene,Coeur D'Alene
http://terminology.hl7.org/CodeSystem/v3-Race,1169-2,Coharie,Coharie
http://terminology.hl7.org/CodeSystem/v3-Race,1171-8,Colorado River,Colorado River
http://terminology.hl7.org/CodeSystem/v3-Race,1173-4,Colville,Colville
http://terminology.hl7.org/CodeSystem/v3-Race,1175-9,Comanche,Comanche
http://terminology.hl7.org/CodeSystem/v3-Race,1176-7,Oklahoma Comanche,Oklahoma Comanche
http://terminology.hl7.org/CodeSystem/v3-Race,1178-3,"Coos, Lower Umpqua, Siuslaw","Coos, Lower Umpqua, Siuslaw"
http://terminology.hl7.org/CodeSystem/v3-Race,1180-9,Coos,Coos
http://terminology.hl7.org/CodeSystem/v3-Race,1182-5,Coquilles,Coquilles
http://terminology.hl7.org/CodeSystem/v3-Race,1184-1,Costanoan,Costanoan
http://terminology.hl7.org/CodeSystem/v3-Race,1186-6,Coushatta,Coushatta
http://terminology.hl7.org/CodeSystem/v3-Race,1187-4,Alabama Coushatta,Alabama Coushatta
http://terminology.hl7.org/CodeSystem/v3-Race,1189-0,Cowlitz,Cowlitz
http://terminology.hl7.org/CodeSystem/v3-Race,1191-6,Cree,Cree
http://terminology.hl7.org/CodeSystem/v3-Race,1193-2,Creek,Creek
http://terminology.hl7.org/CodeSystem/v3-Race,1194-0,Alabama Creek,Alabama Creek
http://terminology.hl7.org/CodeSystem/v3-Race,1195-7,Alabama Quassarte,Alabama Quassarte
http://terminology.hl7.org/CodeSystem/v3-Race,1196-5,Eastern Creek,Eastern Creek
http://terminology.hl7.org/CodeSystem/v3-Race,1197-3,Eastern Muscogee,Eastern Muscogee
http://terminology.hl7.org/CodeSystem/v3-Race,1198-1,Kialegee,Kialegee
http://terminology.hl7.org/CodeSystem/v3-Race,1199-9,Lower Muscogee,Lower Muscogee
