code,display,system
1552008,Saluretic drug,http://snomed.info/sct
1557002,Talc dusting powder,http://snomed.info/sct
1565004,Blood group antibody Buckalew,http://snomed.info/sct
1575001,Maltose tetrapalmitate,http://snomed.info/sct
1603001,Cobalt isotope,http://snomed.info/sct
1607000,Homoserine kinase,http://snomed.info/sct
1609002,N-octyl isosafrole sulfoxide,http://snomed.info/sct
1613009,Dexbrompheniramine maleate,http://snomed.info/sct
1634002,Blood group antigen Ven,http://snomed.info/sct
1649005,Blood group antigen Sul,http://snomed.info/sct
1656004,Hemoglobin Shaare Zedek,http://snomed.info/sct
1660001,Plant seeds,http://snomed.info/sct
1672007,Ligase,http://snomed.info/sct
1673002,Xylenol,http://snomed.info/sct
1675009,^86^Rubidium,http://snomed.info/sct
1676005,Blood group antibody LW^ab^,http://snomed.info/sct
1681001,Blood group antibody BLe^b^,http://snomed.info/sct
1696002,12-Hydroperoxy eicosatetraenoic acid,http://snomed.info/sct
1701009,^191^Gold,http://snomed.info/sct
1710001,Uric acid,http://snomed.info/sct
1727009,Deoxylimonate A-ring-lactonase,http://snomed.info/sct
1740004,Deoxy cytidine triphosphate,http://snomed.info/sct
1756009,Antipruritic topical anesthetic,http://snomed.info/sct
1758005,Motilin preparation,http://snomed.info/sct
1764003,"Saccharopine dehydrogenase (nicotinamide adenine dinucleotide phosphate ^+^,L-glutamate-forming)",http://snomed.info/sct
1768000,Sucrose phosphorylase,http://snomed.info/sct
1786002,Leucine-transfer ribonucleic acid ligase,http://snomed.info/sct
1793003,Sodium trichloroacetate,http://snomed.info/sct
1795005,Glyodin,http://snomed.info/sct
1798007,Hemoglobin Hammersmith,http://snomed.info/sct
1799004,L-Lysine oxidase,http://snomed.info/sct
1823002,Hemoglobin Tochigi,http://snomed.info/sct
1827001,Ribonuclease T>1<,http://snomed.info/sct
1886008,Verdoglobin,http://snomed.info/sct
1904005,Galactoside 3-fucosyltransferase,http://snomed.info/sct
1914001,von Willebrand factor antibody,http://snomed.info/sct
1940007,"Immunoglobulin, GM>21< allotype",http://snomed.info/sct
1944003,Coagulation factor X Patient variant,http://snomed.info/sct
1956002,Buclizine hydrochloride,http://snomed.info/sct
1971003,Loxapine hydrochloride,http://snomed.info/sct
1975007,Blood group antibody Niemetz,http://snomed.info/sct
1978009,Site-specific methyltransferase (cytosine-specific),http://snomed.info/sct
1982006,Bacitracin ophthalmic preparation,http://snomed.info/sct
1985008,Vomitus,http://snomed.info/sct
1991005,Lignin,http://snomed.info/sct
2000001,Heavy nitrogen,http://snomed.info/sct
2006007,Inosine diphosphate,http://snomed.info/sct
2008008,^67^Gallium,http://snomed.info/sct
2009000,Cobalt carbonyl,http://snomed.info/sct
2017008,Deoxyribonucleic acid topoisomerase,http://snomed.info/sct
2027002,Alternaria serine proteinase,http://snomed.info/sct
2029004,Fibrinogen Oslo II,http://snomed.info/sct
2037007,Otic anti-inflammatory preparation,http://snomed.info/sct
2038002,Blood group antibody Bg^b^,http://snomed.info/sct
2039005,sym-Norspermidine synthase,http://snomed.info/sct
2050008,Choloylglycine hydrolase,http://snomed.info/sct
2064008,L-Xylulokinase,http://snomed.info/sct
2082006,Vitronectin receptor alpha chain,http://snomed.info/sct
2085008,Oncogene protein TCL,http://snomed.info/sct
2088005,Page blue G-90 stain,http://snomed.info/sct
2096000,Nicotinamide adenine dinucleotide ^+^ adenosine diphosphate-ribosyltransferase,http://snomed.info/sct
2100004,Sulfonethylmethane,http://snomed.info/sct
2101000,Yeast proteinase B,http://snomed.info/sct
2125008,Betazole,http://snomed.info/sct
2130007,"Cyclohexane-1,2-diol dehydrogenase",http://snomed.info/sct
2147008,Blood group antigen Paular,http://snomed.info/sct
